1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),UG,8.3,9.7,,,,,,,,,,,,,
1,Vitamin D2 (ergocalciferol),Vitamin D2 (ergocalciferol),UG,0,0,,,,,,,,,,,,,
1,Vitamin D2 (ergocalciferol),Vitamin D2 (ergocalciferol),UG,0,0,,,,,,,,,,,,,
1,"Vitamin D (D2 + D3), International Units",Vitamin D,IU,238,231,,,,,,,,,,,,,
1,Vitamin D3 (cholecalciferol),Vitamin D3 (cholecalciferol),UG,6,5.8,,,,,,,,,,,,,
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),UG,6,5.8,,,,,,,,,,,,,
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),UG,10.4,15.7,,,,,,,,,,,,,
1,"Vitamin D (D2 + D3), International Units",Vitamin D,IU,417,628,,,,,,,,,,,,,
1,Vitamin D3 (cholecalciferol),Vitamin D3 (cholecalciferol),UG,10.4,15.7,,,,,,,,,,,,,
1,Vitamin D2 (ergocalciferol),Vitamin D2 (ergocalciferol),UG,0,0,,,,,,,,,,,,,
1,"Vitamin D (D2 + D3), International Units",Vitamin D,IU,0,0,,,,,,,,,,,,,
1,Vitamin D2 (ergocalciferol),Vitamin D2 (ergocalciferol),UG,0,0,,,,,,,,,,,,,
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),UG,0,0,,,,,,,,,,,,,
1,Vitamin D3 (cholecalciferol),Vitamin D3 (cholecalciferol),UG,0,0,,,,,,,,,,,,,
1,Vitamin D3 (cholecalciferol),Vitamin D3 (cholecalciferol),UG,1,1,,,,,,,,,,,,,
1,Vitamin D2 (ergocalciferol),Vitamin D2 (ergocalciferol),UG,0,0,,,,,,,,,,,,,
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),UG,1,1,,,,,,,,,,,,,
1,"Vitamin D (D2 + D3), International Units",Vitamin D,IU,40,40,,,,,,,,,,,,,
1,Vitamin D3 (cholecalciferol),Vitamin D3 (cholecalciferol),UG,1.2,1.06,,,,,,,,,,,,,
1,"Vitamin D (D2 + D3), International Units",Vitamin D,IU,48,42.4,,,,,,,,,,,,,
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),UG,1.2,1.06,,,,,,,,,,,,,
1,"Vitamin D (D2 + D3), International Units",Vitamin D,IU,47,44,,,,,,,,,,,,,
1,Vitamin D3 (cholecalciferol),Vitamin D3 (cholecalciferol),UG,1.2,1.1,,,,,,,,,,,,,
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),UG,1.2,1.1,,,,,,,,,,,,,
1,Vitamin D3 (cholecalciferol),Vitamin D3 (cholecalciferol),UG,1.2,1.13,,,,,,,,,,,,,
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),UG,1.2,1.13,,,,,,,,,,,,,
1,"Vitamin D (D2 + D3), International Units",Vitamin D,IU,49,45.2,,,,,,,,,,,,,
1,"Vitamin D (D2 + D3), International Units",Vitamin D,IU,51,38.4,,,,,,,,,,,,,
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),UG,1.3,0.96,,,,,,,,,,,,,
1,Vitamin D3 (cholecalciferol),Vitamin D3 (cholecalciferol),UG,1.3,0.96,,,,,,,,,,,,,
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),UG,2,2.46,,,,,,,,,,,,,
1,Vitamin D3 (cholecalciferol),Vitamin D3 (cholecalciferol),UG,2,2.46,,,,,,,,,,,,,
1,"Vitamin D (D2 + D3), International Units",Vitamin D,IU,82,98.4,,,,,,,,,,,,,
1,Vitamin D2 (ergocalciferol),Vitamin D2 (ergocalciferol),UG,0,0,,,,,,,,,,,,,
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),UG,0,0.4,,,,,,,,,,,,,
1,"Vitamin D (D2 + D3), International Units",Vitamin D,IU,0,16,,,,,,,,,,,,,
1,Vitamin D3 (cholecalciferol),Vitamin D3 (cholecalciferol),UG,0,0.4,,,,,,,,,,,,,
11,"Vitamin D (D2 + D3), International Units",Vitamin D,IU,29,1.62,,,,,,,,,,,,,
11,Vitamin D (D2 + D3),Vitamin D (D2 + D3),UG,0.7,0.0406,,,,,,,,,,,,,
11,Vitamin D2 (ergocalciferol),Vitamin D2 (ergocalciferol),UG,0.7,0.04063,,,,,,,,,,,,,
11,"Vitamin D (D2 + D3), International Units",Vitamin D,IU,18,2.25,,,,,,,,,,,,,
11,Vitamin D (D2 + D3),Vitamin D (D2 + D3),UG,0.4,0.0562,,,,,,,,,,,,,
11,Vitamin D2 (ergocalciferol),Vitamin D2 (ergocalciferol),UG,0.4,0.05625,,,,,,,,,,,,,
11,"Vitamin D (D2 + D3), International Units",Vitamin D,IU,7,0.868,,,,,,,,,,,,,
11,Vitamin D (D2 + D3),Vitamin D (D2 + D3),UG,0.2,0.0217,,,,,,,,,,,,,
11,Vitamin D2 (ergocalciferol),Vitamin D2 (ergocalciferol),UG,0.2,0.02167,,,,,,,,,,,,,
16,"Vitamin D (D2 + D3), International Units",Vitamin D,IU,49,27.2,,,,,,,,,,,,,
16,Vitamin D (D2 + D3),Vitamin D (D2 + D3),UG,1.2,0.681,,,,,,,,,,,,,
16,Vitamin D2 (ergocalciferol),Vitamin D2 (ergocalciferol),UG,1.2,0.6814,,,,,,,,,,,,,
14,"Vitamin D (D2 + D3), International Units",Vitamin D,IU,42,37.1,,,,,,,,,,,,,
14,Vitamin D (D2 + D3),Vitamin D (D2 + D3),UG,1,0.927,,,,,,,,,,,,,
14,Vitamin D3 (cholecalciferol),Vitamin D3 (cholecalciferol),UG,1,0,,,,,,,,,,,,,
11,"Vitamin D (D2 + D3), International Units",Vitamin D,IU,14,0,,,,,,,,,,,,,
11,Vitamin D (D2 + D3),Vitamin D (D2 + D3),UG,0.3,0,,,,,,,,,,,,,
11,Vitamin D2 (ergocalciferol),Vitamin D2 (ergocalciferol),UG,0.3,0,,,,,,,,,,,,,
