food_category_id,FF Food description,SR Food description,Unit,SR Mean per 100g,FF Mean per 100g
11,Vitamin D (D2 + D3),Vitamin D (D2 + D3),G,0.0000007,0.0000000406
11,Vitamin D2 (ergocalciferol),Vitamin D2 (ergocalciferol),G,0.0000007,0.00000004063
11,Vitamin D (D2 + D3),Vitamin D (D2 + D3),G,0.0000004,0.0000000562
11,Vitamin D2 (ergocalciferol),Vitamin D2 (ergocalciferol),G,0.0000004,0.00000005625
11,Vitamin D (D2 + D3),Vitamin D (D2 + D3),G,0.0000002,0.0000000217
11,Vitamin D2 (ergocalciferol),Vitamin D2 (ergocalciferol),G,0.0000002,0.00000002167
16,Vitamin D (D2 + D3),Vitamin D (D2 + D3),G,0.0000012,0.000000681
16,Vitamin D2 (ergocalciferol),Vitamin D2 (ergocalciferol),G,0.0000012,0.0000006814
14,Vitamin D (D2 + D3),Vitamin D (D2 + D3),G,0.000001,0.000000927
14,Vitamin D3 (cholecalciferol),Vitamin D3 (cholecalciferol),G,0.000001,0
11,Vitamin D (D2 + D3),Vitamin D (D2 + D3),G,0.0000003,0
11,Vitamin D2 (ergocalciferol),Vitamin D2 (ergocalciferol),G,0.0000003,0
11,Vitamin D (D2 + D3),Vitamin D (D2 + D3),G,0.0000001,0
11,Vitamin D2 (ergocalciferol),Vitamin D2 (ergocalciferol),G,0.0000001,0
11,Vitamin D (D2 + D3),Vitamin D (D2 + D3),G,0.0000001,0
11,Vitamin D2 (ergocalciferol),Vitamin D2 (ergocalciferol),G,0.0000001,0
11,Vitamin D (D2 + D3),Vitamin D (D2 + D3),G,0.0000281,0.0000016
11,Vitamin D2 (ergocalciferol),Vitamin D2 (ergocalciferol),G,0.0000281,0.000001596
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),G,0,0.000000543
1,Vitamin D3 (cholecalciferol),Vitamin D3 (cholecalciferol),G,0,0.0000005434
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),G,0.0000001,0.000000778
1,Vitamin D3 (cholecalciferol),Vitamin D3 (cholecalciferol),G,0.0000001,0.0000007783
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),G,0,0
1,Vitamin D3 (cholecalciferol),Vitamin D3 (cholecalciferol),G,0,0
1,Vitamin D2 (ergocalciferol),Vitamin D2 (ergocalciferol),G,0,0
1,Vitamin D (D2 + D3),Vitamin D (D2 + D3),G,0.0000004,0
